row,corner,freq_mhz,period_target_ps,status,delay_ps,levels,slack_ps,fmax_mhz,gate_count,ff_count,area_um2,seq_area_um2,actual_depth,char_depth,storage_bits,elapsed_s,notes,error
gaxi_fifo_W512_D4_AUTO_REG0,SS,750,1333,OK,281.87,8,1051.13,3547.7,11121,2056,1497.10356,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,SS,1000,1000,OK,281.87,8,718.13,3547.7,11121,2056,1497.10356,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
arbiter_round_robin_N8,TT,500,2000,OK,350.56,14,1649.44,2852.6,353,35,39.83256,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,TT,750,1333,OK,350.56,14,982.44,2852.6,353,35,39.83256,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,TT,1000,1000,OK,350.56,14,649.44,2852.6,353,35,39.83256,12.7575,0,0,0,1.3,,
arbiter_round_robin_N8,FF,500,2000,OK,251.83,14,1748.17,3970.9,333,35,37.12068,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,FF,750,1333,OK,251.83,14,1081.17,3970.9,333,35,37.12068,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,FF,1000,1000,OK,251.83,14,748.17,3970.9,333,35,37.12068,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,SS,500,2000,OK,494.34,14,1505.66,2022.9,355,35,39.6576,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,SS,750,1333,OK,494.34,14,838.6600000000001,2022.9,355,35,39.6576,12.7575,0,0,0,1.2,,
arbiter_round_robin_N8,SS,1000,1000,OK,494.34,14,505.66,2022.9,355,35,39.6576,12.7575,0,0,0,1.2,,
axi4_master_rd_AW64_DW512,TT,500,2000,OK,216.54,8,1783.46,4618.1,15510,2312,1931.7771,842.724,0,0,0,4.5,,
axi4_master_rd_AW64_DW512,TT,750,1333,OK,216.54,8,1116.46,4618.1,15510,2312,1931.7771,842.724,0,0,0,4.5,,
axi4_master_rd_AW64_DW512,TT,1000,1000,OK,216.54,8,783.46,4618.1,15510,2312,1931.7771,842.724,0,0,0,4.5,,
axi4_master_rd_AW64_DW512,FF,500,2000,OK,176.28,8,1823.72,5672.8,15507,2312,1926.4554,842.724,0,0,0,4.5,,
axi4_master_rd_AW64_DW512,FF,750,1333,OK,176.28,8,1156.72,5672.8,15507,2312,1926.4554,842.724,0,0,0,4.5,,
