config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
reorder,incremental_bl4,incremental,4,64000,0,0,0,23343,2048000,66.667,7740541,0.0218,17.64,7893178,0.0200,17.30,370.71,64000,23343 beats mismatched
reorder,incremental_bl8,incremental,8,64000,0,0,0,45315,4096000,66.667,15480606,0.0253,17.64,15785616,0.0253,17.30,369.41,64000,45315 beats mismatched
reorder,incremental_bl16,incremental,16,64000,0,0,0,27723,8192000,66.667,30960315,0.0291,17.64,31571177,0.0282,17.30,372.54,64000,27723 beats mismatched
reorder,row_major_bl4,row_major,4,64000,0,0,0,62341,2048000,66.667,8140847,0.0200,16.77,8140869,0.0200,16.77,383.99,64000,62341 beats mismatched
reorder,row_major_bl8,row_major,8,64000,0,0,0,59147,4096000,66.667,16281292,0.0253,16.77,16281403,0.0253,16.77,383.99,64000,59147 beats mismatched
reorder,row_major_bl16,row_major,16,64000,0,0,0,52757,8192000,66.667,32562850,0.0274,16.77,32562724,0.0274,16.77,383.99,64000,52757 beats mismatched
reorder,col_major_bl4,col_major,4,64000,0,0,0,43023,2048000,66.667,8148338,0.0200,16.76,8148495,0.0200,16.76,383.99,64000,43023 beats mismatched
reorder,col_major_bl8,col_major,8,64000,0,0,0,20575,4096000,66.667,16297160,0.0240,16.76,16296913,0.0240,16.76,383.99,64000,20575 beats mismatched
reorder,col_major_bl16,col_major,16,64000,0,0,0,41385,8192000,66.667,32593930,0.0274,16.76,32594149,0.0274,16.76,383.99,64000,41385 beats mismatched
reorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,0,5843,2048000,66.667,1530604,0.0400,89.20,2577194,0.0343,52.98,89.63,64000,5843 beats mismatched
reorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,0,59392,4096000,66.667,3374873,0.0685,80.91,7804066,0.0400,34.99,144.00,64000,59392 beats mismatched
reorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,0,53248,8192000,66.667,11166934,0.0640,48.91,19544112,0.0417,27.94,203.69,64000,53248 beats mismatched
reorder,col_major_bl8_multiid,col_major,8,64000,0,2,0,20573,4096000,66.667,16297007,0.0240,16.76,16296902,0.0240,16.76,383.97,64007,20573 beats mismatched; hist total 64007 != txn_count 64000
reorder,col_major_bl8_gap,col_major,8,64000,8,0,0,20431,4096000,66.667,16296878,0.0240,16.76,16296901,0.0240,16.76,383.99,64000,20431 beats mismatched
