Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3550,3550,0,00001fc,05,2,2,3,e07f29f4273a620b,0,0,2,c0a3c74606090003,3,1,6eb0000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3551,3551,0,0000000,00,3,3,3,73e3be0ab4a6ef5e,0,0,3,88eac4444e400301,0,1,6ef4a4a1a9b1620b,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3552,3552,0,0000000,00,3,3,3,fd68335f3a2d78a0,0,0,3,88eac4444e400301,0,1,e07f29f4273a620b,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3553,3553,0,0000000,00,3,3,3,54da91f7939ff5f5,0,0,3,88eac4444e400301,0,1,73e3be0ab4a6ef5e,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3554,3554,0,0000000,00,3,3,3,da511ca21d14575d,0,0,3,88eac4444e400301,0,1,fd68335f3a2d78a0,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3555,3555,0,0000200,05,2,2,3,49cd8b5c8e88da08,0,0,2,88eac4444e400301,3,1,54da91f7939ff5f5,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3556,3556,0,0000204,05,2,2,3,c746060900034df6,0,0,2,05bf4acfc3158d8a,3,1,da511ca21d14575d,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3557,3557,0,0000208,05,2,2,3,c4444e400301c0a3,0,0,2,9241d95354eb1e16,3,1,49cd8b5c8e88da08,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3558,3558,0,000020c,05,2,2,3,0000000000000000,0,0,2,1f1457d8d9be909d,3,1,c746060900034df6,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3559,3559,0,0000210,05,2,2,3,0000000000000000,0,0,2,bdbcfe6a7b16392f,3,1,c4444e400301c0a3,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3560,3560,0,0000214,05,2,2,3,c400000000000000,0,0,2,30e970e1f643b7a4,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3561,3561,0,0000218,05,2,2,3,c4444e40030188ea,0,0,2,a717e37d61bd2438,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3562,3562,0,000021c,05,2,2,3,4acfc3158d8a88ea,0,0,2,2a426df6ece8aab3,3,1,c400000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3563,3563,0,0000000,00,3,3,3,d95354eb1e1605bf,0,0,3,e246b01824ec775d,0,1,c4444e40030188ea,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3564,3564,0,0000000,00,3,3,3,57d8d9be909d9241,0,0,3,e246b01824ec775d,0,1,4acfc3158d8a88ea,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3565,3565,0,0000000,00,3,3,3,fe6a7b16392f1f14,0,0,3,e246b01824ec775d,0,1,d95354eb1e1605bf,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3566,3566,0,0000000,00,3,3,3,70e1f643b7a4bdbc,0,0,3,e246b01824ec775d,0,1,57d8d9be909d9241,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3567,3567,0,0000220,05,2,2,3,e37d61bd243830e9,0,0,2,e246b01824ec775d,3,1,fe6a7b16392f1f14,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3568,3568,0,0000224,05,2,2,3,6df6ece8aab3a717,0,0,2,6f133e93a9b9f9d6,3,1,70e1f643b7a4bdbc,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3569,3569,0,0000228,05,2,2,3,b01824ec775d2a42,0,0,2,f8edad0f3e476a4a,3,1,e37d61bd243830e9,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3570,3570,0,000022c,05,2,2,3,0000000000000000,0,0,2,75b82384b312e4c1,3,1,6df6ece8aab3a717,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3571,3571,0,0000230,05,2,2,3,0000000000000000,0,0,2,d7108a3611ba4d73,3,1,b01824ec775d2a42,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
