Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_op[3:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_rdy,u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_v,u_harness/u_dut/u_ctrl/u_core/u_core/u_dfi/u_rd/r_outstanding[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3138,3138,0,00001d8,04,2,2,3,0000000000000000,0,0,2,a5a022b8a5a022bc,3,1,2260a5a02264a5a0,4,1,0,00
3139,3139,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02230a5a02234,0,1,2218a5a0221ca5a0,4,1,0,00
3140,3140,0,0000000,00,3,3,3,2298a5a0229ca5a0,0,0,3,a5a02230a5a02234,0,1,0000000000000018,4,1,0,00
3141,3141,0,0000000,00,3,3,3,2290a5a02294a5a0,0,0,3,a5a02230a5a02234,0,1,0000000000000000,4,1,1,00
3142,3142,0,0000000,00,3,3,3,2288a5a0228ca5a0,0,0,3,a5a02230a5a02234,0,1,0000000000000000,4,1,1,00
3143,3143,0,0000000,00,3,3,3,2280a5a02284a5a0,0,0,3,a5a02230a5a02234,0,1,0000000000000000,4,1,1,00
3144,3144,0,0000000,00,3,3,3,22b8a5a022bca5a0,0,0,3,a5a022b0a5a022b4,0,1,0000000000000000,4,1,1,00
3145,3145,0,0000000,00,3,3,3,2230a5a02234a5a0,0,0,3,a5a022b0a5a022b4,0,1,0000000000000000,4,1,1,00
3146,3146,0,0000000,00,3,3,3,0000000000000030,0,0,3,a5a022b0a5a022b4,0,1,2200000000000000,4,1,0,00
3147,3147,0,00001d8,05,2,2,3,0000000000000000,0,0,2,a5a022b0a5a022b4,3,1,2298a5a0229ca5a0,4,1,0,00
3148,3148,0,00001d8,06,2,2,3,0000000000000000,0,0,2,a5a022a8a5a022ac,3,1,2290a5a02294a5a0,4,1,0,00
3149,3149,0,00001d8,07,2,2,3,0000000000000000,0,0,2,a5a022a0a5a022a4,3,1,2288a5a0228ca5a0,4,1,0,00
3150,3150,0,00001dc,00,2,2,3,0000000000000000,0,0,2,a5a022d8a5a022dc,3,1,2280a5a02284a5a0,4,1,0,00
3151,3151,0,00001dc,01,2,2,3,0000000000000000,0,0,2,a5a022d0a5a022d4,3,1,22b8a5a022bca5a0,4,1,0,00
3152,3152,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02248a5a0224c,0,1,2230a5a02234a5a0,4,1,0,00
3153,3153,0,0000000,00,3,3,3,22b0a5a022b4a5a0,0,0,3,a5a02248a5a0224c,0,1,0000000000000030,4,1,0,00
3154,3154,0,0000000,00,3,3,3,22a8a5a022aca5a0,0,0,3,a5a02248a5a0224c,0,1,0000000000000000,4,1,1,00
3155,3155,0,0000000,00,3,3,3,22a0a5a022a4a5a0,0,0,3,a5a02248a5a0224c,0,1,0000000000000000,4,1,1,00
3156,3156,0,0000000,00,3,3,3,22d8a5a022dca5a0,0,0,3,a5a02248a5a0224c,0,1,0000000000000000,4,1,1,00
3157,3157,0,0000000,00,3,3,3,22d0a5a022d4a5a0,0,0,3,a5a022c8a5a022cc,0,1,0000000000000000,4,1,1,00
3158,3158,0,0000000,00,3,3,3,2248a5a0224ca5a0,0,0,3,a5a022c8a5a022cc,0,1,0000000000000000,4,1,1,00
3159,3159,0,0000000,00,3,3,3,0000000000000048,0,0,3,a5a022c8a5a022cc,0,1,2200000000000000,4,1,0,00
3160,3160,0,00001dc,02,2,2,3,0000000000000000,0,0,2,a5a022c8a5a022cc,3,1,22b0a5a022b4a5a0,4,1,0,00
3161,3161,0,00001dc,03,2,2,3,0000000000000000,0,0,2,a5a022c0a5a022c4,3,1,22a8a5a022aca5a0,4,1,0,00
3162,3162,0,00001dc,04,2,2,3,0000000000000000,0,0,2,a5a022f8a5a022fc,3,1,22a0a5a022a4a5a0,4,1,0,00
3163,3163,0,00001dc,05,2,2,3,0000000000000000,0,0,2,a5a022f0a5a022f4,3,1,22d8a5a022dca5a0,4,1,0,00
3164,3164,0,00001dc,06,2,2,3,0000000000000000,0,0,2,a5a022e8a5a022ec,3,1,22d0a5a022d4a5a0,4,1,0,00
3165,3165,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02260a5a02264,0,1,2248a5a0224ca5a0,4,1,0,00
3166,3166,0,0000000,00,3,3,3,22c8a5a022cca5a0,0,0,3,a5a02260a5a02264,0,1,0000000000000048,4,1,0,00
3167,3167,0,0000000,00,3,3,3,22c0a5a022c4a5a0,0,0,3,a5a02260a5a02264,0,1,0000000000000000,4,1,1,00
