name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_2ch_512KB,2,1,1048576,128,128,69797,0.00069797,1432.7263349427626,69630,1436.1625736033318,69647,1435.8120234898847,True,False
1desc_2ch_512KB,2,1,1048576,160,160,69829,0.0006982900000000001,1432.0697704392157,69630,1436.1625736033318,69647,1435.8120234898847,True,False
1desc_2ch_512KB,2,1,1048576,192,192,69861,0.00069861,1431.4138074175864,69630,1436.1625736033318,69647,1435.8120234898847,True,False
1desc_2ch_512KB,2,1,1048576,256,256,72220,0.0007222000000000001,1384.6579894765991,71680,1395.0892857142856,71942,1390.008618053432,True,False
1desc_2ch_512KB,2,1,1048576,384,384,104988,0.00104988,952.4898083590506,104192,959.7665847665847,104582,956.1874892428907,True,False
1desc_2ch_512KB,2,1,1048576,512,512,137756,0.0013775600000000001,725.9211939951798,136704,731.507490636704,137222,728.746119426914,True,False
1desc_3ch_512KB,3,1,1572864,0,0,104537,0.0010453700000000001,1434.8986483254732,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,32,32,104568,0.00104568,1434.4732614184072,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,64,64,104600,0.001046,1434.0344168260037,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,96,96,104632,0.00104632,1433.5958406606007,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,128,128,104664,0.0010466400000000002,1433.1575326759914,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,160,160,104696,0.00104696,1432.7194926262703,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,192,192,104728,0.00104728,1432.2817202658314,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,256,256,104792,0.0010479200000000001,1431.4069776318802,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_3ch_512KB,3,1,1572864,384,384,148285,0.0014828500000000002,1011.5655663081227,147723,1015.4139842813914,147879,1014.3428072951534,True,False
1desc_3ch_512KB,3,1,1572864,512,512,197565,0.0019756500000000002,759.2437931819907,196747,762.4004432087909,197031,761.301521080439,True,False
1desc_4ch_512KB,4,1,2097152,0,0,139404,0.00139404,1434.679062293765,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,32,32,139435,0.0013943500000000001,1434.3600961021264,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,64,64,139467,0.00139467,1434.030989409681,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,96,96,139499,0.00139499,1433.7020337063348,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,128,128,139531,0.00139531,1433.373228888204,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,160,160,139563,0.0013956300000000001,1433.0445748515006,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,192,192,139595,0.0013959500000000002,1432.7160714925317,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,256,256,139659,0.00139659,1432.0595163935013,139262,1436.141948270167,139381,1434.9158063150644,True,False
1desc_4ch_512KB,4,1,2097152,384,384,197530,0.0019753,1012.5044297068799,197003,1015.2129663000055,197124,1014.5898013433169,True,False
1desc_4ch_512KB,4,1,2097152,512,512,,,,,,,,False,True
